"_id","first_name","last_name","GP","Min_per","stops","oreb","dreb","treb","ast","stl","blk","pts"
"65d5e15e016cc2be02ffcc8f","Anthony","'Cat' Barber","36","59.7","119.447","0.3889","1.6111","2","3.5","0.5833","0.0278","8.5"
"65d5e15e016cc2be02ffdf4c","","","30","21.3","49.5614","0.7812","0.9375","1.7188","0.4062","0.4062","0.0312","1.875"
"65d5e15c016cc2be02ff71a4","Darion","'Jake' Anderson","28","75.4","173.226","1.2143","4.2143","5.4286","2.4643","1.5714","0.1071","16.6429"
"65d5e15d016cc2be02ff972a","Peter","'PJ' Roberson","33","51","148.947","1.3636","3.6061","4.9697","0.2727","0.2727","1.7879","4.303"
"65d5e15d016cc2be02ffb797","Peter","'Pj' Roberson","25","43.7","91.5682","1.44","3.08","4.52","0.36","0.28","1.24","5.24"
"65d5e15c016cc2be02ff7360","Dominic","(Bo) King","4","5.5","12.8976","0.25","1.5","1.75","1","1","0.25","8"
"65d5e15c016cc2be02ff8001","David","(DJ) Jackson","31","75.3","142.952","1.6452","2.871","4.5161","1.1935","0.5161","0.2581","9.5161"
"65d5e15c016cc2be02ff84eb","Jordan","Aaberg","27","32.9","78.4924","0.8889","1.8889","2.7778","0.1481","0.2963","1.1852","3.5185"
"65d5e15d016cc2be02ffbb1d","Mike","Aaman","25","31.9","69.6515","1.4","2.28","3.68","0.16","0.4","0.24","4.68"
"65d5e15d016cc2be02ffb8e2","Jordan","Aaron","30","88.7","170.822","0.5333","3.2","3.7333","3.9667","1.2667","0","13.8667"
"65d5e15e016cc2be02ffdfdd","Shaqquan","Aaron","23","11.4","23.0512","0.2609","0.4783","0.7391","0.2174","0.1304","0.087","1.2609"
"65d5e15e016cc2be02ffc7d4","Joe","Aase","23","11","24.2208","0.1304","0.7391","0.8696","0.1739","0.1304","0.087","0.8696"
"65d5e15d016cc2be02ffb541","Ronell","Abaekobe","5","0.5","0.549242","0","0","0","0","0","0","0.4"
"65d5e160016cc2be0200355b","Eli","Abaev","29","65.9","169.309","2.5667","5.1667","7.7333","1.1333","0.8667","0.7","7.9333"
"65d5e15e016cc2be02ffca70","Kwesi","Abakah","16","4.8","8.48162","0.3125","0.375","0.6875","0.0625","0","0.0625","1"
"65d5e15c016cc2be02ff67ed","Ty","Abbott","35","73.6","180.744","0.6","3.3714","3.9714","1.5143","0.9429","0.4571","7.0857"
"65d5e15f016cc2be02fff1ce","Malik","Abbott","3","0.2","1.02602","0","0.6667","0.6667","0","0","0","0"
"65d5e15d016cc2be02ffb89c","Mostafa","Abdel Latif","27","25.9","57.1437","1.1111","1.8889","3","0.0741","0.1481","0.5556","1.6296"
"65d5e160016cc2be02002951","Huthifah","Abdeljawad","9","0.9","1.70289","0","0.2","0.2","0.1","0","0","0.1"
"65d5e15d016cc2be02ffa5c4","Salah","Abdo","5","0.9","1.04287","0","0","0","0","0","0","0"
"65d5e15d016cc2be02ffb49d","Muhammad","Abdul-Aleem","29","53.7","130.425","1","2.9655","3.9655","1.2414","1.2069","0.1724","8.9655"
"65d5e15d016cc2be02ffbac5","Musa","Abdul-Aleem","9","7.3","14.3626","0.4444","1","1.4444","0.3333","0.2222","0.3333","3.3333"
"65d5e15e016cc2be02ffcae2","Jalil","Abdul-Bassit","17","7.6","16.3053","0.0588","0.4706","0.5294","0.2353","0.2353","0","1.8824"
"65d5e15c016cc2be02ff6806","Mustafa","Abdul-Hamid","2","0.2","0.272049","0","0","0","0.5","0","0","0"
"65d5e15d016cc2be02ffb790","Ahmad","Abdullah","3","0.3","0.909999","0","0.3333","0.3333","0.3333","0","0","0"
"65d5e15f016cc2be02ffecf0","Hasan","Abdullah","8","2.8","5.22504","0","0.125","0.125","0.875","0.125","0","0.5"
"65d5e160016cc2be02002385","Mohammed","Abdulsalam","30","10.3","24.509","0.6562","0.6875","1.3438","0.0625","0.2188","0.0312","0.8438"
"65d5e15e016cc2be02ffda9f","Jordan","Abdur-Ra'oof","26","13.9","27.418","0.0741","0.5185","0.5926","0.1481","0.1852","0.1481","1.3333"
"65d5e15f016cc2be02000317","Bilal","Abdur-Rahim","24","25","56.8637","0.9231","1.6538","2.5769","0.8846","0.4615","0.0385","4.5769"
"65d5e161016cc2be02004db1","Jabri","Abdur-Rahim","8","3.7","5.72736","0","0.25","0.25","0.25","0.125","0.125","0.875"
"65d5e15e016cc2be02ffddb9","Muhammad-Ali","Abdur-Rahkman","28","42.9","81.1952","0.2759","1.3793","1.6552","0.931","0.5517","0","4.4828"
"65d5e15c016cc2be02ff7390","Larney","Abdush-Shakur","14","2.1","6.90243","0.0714","0.2143","0.2857","0.0714","0.2143","0","0.1429"
"65d5e15c016cc2be02ff82f4","Toso","Abedamowo","3","0.7","2.79887","0","0","0","0","0.6667","0","1.3333"
"65d5e160016cc2be02003ae5","Fletcher","Abee","27","81.6","140.72","0.3333","1.5667","1.9","1.4","1.1333","0.0667","12.1667"
"65d5e15d016cc2be02ff9595","Martins","Abele","17","28.4","65.8076","1.8235","3.4706","5.2941","0.2941","0.4118","1.1176","5.4706"
"65d5e15d016cc2be02ffa5ef","Remy","Abell","32","18.5","38.8506","0.375","0.5625","0.9375","0.4688","0.1875","0.0312","2.9688"
"65d5e15c016cc2be02ff7fa9","Brent","Abendroth","9","1.1","1.44028","0","0.1111","0.1111","0","0","0","0"
"65d5e160016cc2be020034bb","Riley","Abercrombie","17","5.8","13.0692","0.0588","0.6471","0.7059","0.1765","0","0.1176","1.3529"
"65d5e15c016cc2be02ff7139","Onyekautukwu","Abiakam","11","4.4","9.46616","0.3636","0.5455","0.9091","0","0.0909","0.1818","0.9091"
"65d5e15c016cc2be02ff7dc2","Onyekawtuke","Abiakam","28","35.4","89.0985","1.2857","2.4286","3.7143","0.3571","0.5","1.1786","3.1786"
"65d5e15d016cc2be02ffa725","Kazembe","Abif","20","8.1","22.6029","0.25","0.9","1.15","0.05","0.15","0.15","1.5"
"65d5e161016cc2be02004ab4","Micaiah","Abii","20","16.1","29.8376","0.2917","1.1667","1.4583","0.7083","0.2083","0.125","4.25"
"65d5e160016cc2be02003b95","Max","Abmas","27","73.5","135.467","0.3871","1.7742","2.1613","1.4194","1.0323","0.2258","14.4194"
"65d5e161016cc2be02004d00","Efe","Abogidi","27","59.4","153.139","2.2963","4.9259","7.2222","0.3704","0.7407","1.3333","8.9259"
